id,neo_list_id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity,miss_distance_km,miss_distance_miles,orbiting_body
54419016,54419016,(2024 AS),25.21,24.1298696921,53.9560289198,False,2024-01-03,7.3946974298,9293487.461979702,5774705.332229781,Earth
54419705,54419705,(2024 AA3),25.76,18.7307417731,41.8832118738,False,2024-01-03,10.7365146763,5207160.128285559,3235579.2679123543,Earth
54419812,54419812,(2024 AH3),25.67,19.5233786156,43.655601735,False,2024-01-03,9.8836904204,2692217.677265319,1672866.4928026423,Earth
54419817,54419817,(2024 AM3),26.6,12.7219878539,28.4472296503,False,2024-01-03,9.6391324361,2680032.137885108,1665294.7497381703,Earth
54425076,54425076,(2024 BB8),21.37,141.4343753131,316.2568775553,False,2024-01-03,12.1295509121,69506951.39840552,43189616.869823165,Earth
2668499,2668499,668499 (2012 AB11),22.32,91.3177025518,204.1925904549,False,2024-01-03,18.3613912419,42945020.56834914,26684798.390628636,Earth
2676480,2676480,676480 (2016 GZ215),21.08,161.6422833399,361.4431335863,False,2024-01-03,3.725730427,47416427.48001454,29463201.809259053,Earth
2304640,2304640,304640 (2006 WW1),19.17,389.5426161261,871.043769791,False,2024-01-06,23.0326073542,45511421.604933254,28279486.048112746,Earth
3102756,3102756,(2002 AO11),23.05,65.2461629789,145.8948556919,False,2024-01-06,18.4313859429,60009526.330604255,37288190.58546449,Earth
3623521,3623521,(2013 AK20),23.19,61.1723235067,136.7854737026,False,2024-01-06,9.2913935384,39773989.22219454,24714410.880211104,Earth
3630638,3630638,(2013 EU9),21.66,123.7527836584,276.719636665,False,2024-01-06,6.4568616725,68747709.96981454,42717846.122396976,Earth
3752775,3752775,(2016 JX5),26.9,11.0803882126,24.7765012606,False,2024-01-06,13.1693944854,32857831.15019332,20416909.532055017,Earth
3780672,3780672,(2017 PM26),21.28,147.4195145042,329.6400556414,False,2024-01-06,18.612928453,32274818.88474144,20054642.5088483,Earth
3794988,3794988,(2017 YZ1),20.43,218.0494404829,487.5733713755,True,2024-01-06,12.2272943072,72151871.79421762,44833094.19472459,Earth
54131589,54131589,(2021 EU4),24.66,31.0852938133,69.5088300671,False,2024-01-06,13.557374479,43483069.129521914,27019126.26355193,Earth
54162245,54162245,(2021 MQ1),23.05,65.2461629789,145.8948556919,False,2024-01-06,21.4639863349,20330046.370610718,12632505.03765524,Earth
2585310,2585310,585310 (2017 YZ1),20.41,220.0670271147,492.0848322348,True,2024-01-06,12.227293154,72151856.23603913,44833084.527320765,Earth
2591179,2591179,591179 (2013 EU9),21.66,123.7527836584,276.719636665,False,2024-01-06,6.4568624469,68747717.67410485,42717850.909620985,Earth
54212682,54212682,(2021 UO1),28.03,6.5849878292,14.7244804171,False,2024-01-06,13.500108601,62463681.30280699,38813131.77272881,Earth
54373932,54373932,(2023 MB3),30.0,2.658,5.9434686842,False,2024-01-06,13.0170442397,54712164.16199074,33996562.368716635,Earth
54397463,54397463,(2023 UE4),21.68,122.6182113181,274.1826557868,False,2024-01-06,8.4652072673,30231428.81647791,18784938.797372784,Earth
54418498,54418498,(2024 AC),25.5,21.113244479,47.2106498806,False,2024-01-06,6.7879066336,2314264.029273852,1438016.9860570775,Earth
